id,Target_Index,GPT4-5shot,GTCOM_Peter,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-Y,refA,refB,Samsung_Research_Philippines,UvA-LTL,ZengHuiMT
51,1197,"Ariel Beit Halachmi's team secured a third consecutive victory, this time particularly impressive.","Ariel Beit Halachmi's team scored a third victory in a row, this time particularly impressive •","Ariel Bethlehem's team scored their third consecutive victory, this time particularly impressive.","Ariel Bethlehem's team has won its third straight, this time in a particularly impressive fashion.","The team of Ariel Beitel has recorded its third victory in a row, this time particularly impressive.","Ariel Beit Halahmi's team composed a third consecutive victory, this time particularly impressive •","Ariel Beit Lahemi's team scored a third victory in a row, this time particularly impressive •","Ariel Beit Lahmai's team notched a third straight win, this time especially impressive •","Ariel Beit Halhami's team has clinched a third win in succession, this time particularly impressive •","Ariel Beit Ha-Lahmi’s team scored a third victory in a row, this time particularly impressive •",Ariel Beit Halevi's team connected a third impressive victory in a row •,"Ariel Bethlehem's team recorded a third consecutive victory, this time especially impressive.","Ariel Beit Halachmi's team combined for a third consecutive victory, this time particularly impressive","Ariel Beit Halahmi's team composed a third win in a row, this time particularly impressive •"
52,1705,"Regarding the Israelis, he is absolutely right!!","As for the Israelis, he is absolutely right!!","As for the Israelis, he's absolutely right! - What?","As for the Israelis, he is absolutely right!!","About the Israelis, he is absolutely right!!","As for the Israelis, he's absolutely right!!","As for the Israelis, he is absolutely right!!","As for the Israelis, he's absolutely right!!","About the Israelis, he's totally right!!","Concerning the Israelis, he is absolutely right!!","Regarding Israelis, he is completely right!!","As for the Israelis, he is absolutely right!","As for the Israelis, he's right!","As for the Israelis, he is absolutely right."
53,1727,"They are working on more and more vaccines and genetic methods to destroy the world's population, so they tell us fake stories about global warming and other nonsense they invent.","They are working on more and more vaccines and bizarre methods to destroy the world's population, so they tell us foggy stories about warming and other nonsense they invent.","They're working on more and more vaccines and asshole methods to wipe out the world's population, so they tell us bogus stories about warming and all the crap they make up.","They're working on more and more vaccines and more and more ways of killing off the world's population, so they tell us fake stories about global warming and other bullshit they make up.",They're working on more and more vaccines and more and more crap ways to destroy the world's population... so they tell us bogus stories about global warming and other crap they make up,"They are working on more and more vaccines and bastardizing methods to destroy the world's population, so they tell us Foggy stories about warming and other nonsense they invent",They are working on more and more vaccines and crappy methods to destroy the world's population so they tell us foggy stories about warming and other nonsense they invent,"They're working on more and more vaccines and bastardized methods to destroy the world's population, so they're telling us foggy stories about warming and other nonsense they're making up.",They're working on more and more vaccines and bastardized methods to decimate the world's population so they tell us pogee stories about warming and more crap they make up,They are working on more and more vaccines and crappy methods to destroy the world’s population and then they tell us fake stories about global warming and such nonsense they invented,"They are working on more and more vaccines and covert methods to destroy the world's population, so they tell us fake stories about global warming and other nonsense they invent",They are working on more and more vaccines and bastardised methods to decimate the world population so they tell us foggy stories about warming,They're working on more and more vaccines and bastard methods to destroy the world's population. So they're telling us Foggy stories about warming and other nonsense they're making up.,"They are working on more and more vaccines and bastardized methods to destroy the world's population, so they tell us Foggy stories about warming and other nonsense they invent."
54,15,Spotify wants to upgrade your car: We tested the Car Thing.,Spotify wants to upgrade your car: We tested the Car Thing,Spotify wants to upgrade your car: we tested the Car Thing.,Spotify wants to upgrade your car.,Spotify wants to upgrade your car. We tested the Car Thing.,Spotify wants to upgrade your car: we tested the Car Thing,Spotify wants to upgrade your car: we tested the Car Thing,Spotify wants to Upgrade your car: We tested the Car Thing,Spotify wants to upgrade your car: we tested the Car Thing,Spotify wants to upgrade your car: we tested the Car Thing,Spotify wants to upgrade your vehicle: We've reviewed the Car Thing,Spotify wants to upgrade your car: We've tested the Car Thing,Spotify wants to upgrade your car: We tested the Car Thing,Spotify wants to upgrade your car: We tested the Car Thing.
55,1696,"Perhaps his personal abilities are still not comparable to Scottie's, but his team player skills and especially his game intelligence are much higher.","Perhaps personal abilities still ler compared to the Scot but team player, and especially game intelligence are much higher","Maybe his personal abilities are still inferior to Scotty's, but a team player, and especially his game intelligence, is much higher.",Maybe personality still matches Scottish but team player and mainly game intelligence much higher.,"Personal skills might still be comparable to a Scottish player, but a team player, and a game intelligence much higher.","Perhaps Ler's personal abilities are still on par with Scotty, but a team player, and especially game intelligence, are much higher","Perhaps Lar's personal abilities are still comparable to Scotty's, but he is a team player, and especially his game intelligence is much higher","Perhaps individual ability still rankles with the Scot, but a team player, and especially a player's intelligence, is much higher.","Perhaps personal abilities are still comparable to a Scot but a team player, and especially game intelligence are much higher","Perhaps his personal abilities are not yet equal to the Scott player, but he is a team player, and particularilyly his game intelligence is much higher","Perhaps individual skills still don't compare to Scottie, but he's a team player, and especially has a much higher basketball IQ","Maybe individual abilities still don't compare to Scotty, but a team player, and especially a much higher intelligence game.","Personal abilities may not yet compare to the Scotsman but a team player, and especially a much higher game intelligence","Perhaps personal abilities are still comparable to Scotty, but a team player, and especially game intelligence are much higher."
56,1001,A hit was identified.,A vulnerability has been identified.,We've identified a vulnerability.,We have a hit.,We have a hit.,Vulnerability detected.,A hit has been detected.,Hit identified.,Injury detected.,A hit has been detected.,a hit was detected.,Damage detected.,Injury detected.,Injury detected.
57,1153,Guard Wade Baldwin may join the yellows and complete Oded Kattash's back line for the 2022/2023 season.,Guard Wade Baldwin is likely to join the Yellows and complement Oded Ketch's backline ahead of the 2022 / 2023 season.,Guard Wade Baldwin could join the Yellow Jackets and complete the backline of the Cheerleaders for the 2022-23 season.,Guard Wade Baldwin may join the Yellow and complete the back line of Kettish's encouragement for the 2022/23 season.,Guard Wade Baldwin may join the Yellow and complete the back line of the Boosters for the 2022-23 season.,Guard Wade Baldwin may join the Yellows and complete Oded Ketch's back line ahead of the 2022/2023 season.,Guard Wade Baldwin may join the Yellows and complete Oded Ketch's back line for the 2022/2023 season.,Guard Wade Baldwin is likely to join the Yellow Jackets and complete the back line for the 2022-2023 season.,Guard Wade Baldwin may join the Yellows and complete Oded Katash's backline ahead of the 2022/2023 season.,"Guard, Wade Baldwin, may join the Yellow Shirts and complete Oded Katash’s back line for the 2022/2023 season.",Guard Wade Baldwin could join Maccabi to bolster their backcourt for the 2022/2023 season.,Guard Wade Baldwin could join the Yellow Jackets and complete Oded Ketch's linebacker for the 2022-23 season.,Guard Wade Baldwin may join the yellow team and complete Oded Ketch's back line for the 2022-23 season.,Guard Wade Baldwin may join the Yellows and complete Oded Ketch's back line for the 2022/2023 season.
58,820,"Recent research, which focused on the transformation of the cornea from a dome to a cone, revealed that the disease and weakness of the cornea and the distortion of its shape are related to an enzymatic imbalance, which can lead to free radicals damaging the proteins in the cornea - and its structure will change.","A recent study, which dealt with the transformation of the shape of the cornea from a dome to a cone, revealed that the cause of the disease and the weakness of the cornea and its deformation is related to an enzyme imbalance, following which the free radicals can damage the proteins in the cornea - and its structure will change.","A recent study, which looked at the transformation of the cornea from a forked to a scratched shape, found that the cause of corneal disease and weakness and distortion of its shape is related to an enzyme imbalance, whereby free radicals can damage the proteins in the cornea - and its structure will change.","A recent study that looked at the shape of the cornea from dome to cone found that the cause of corneal disease and weakness and deformation is related to an enzyme imbalance, where free radicals can damage proteins in the cornea - and its structure changes.","A recent study of the transformation of the cornea from dome to cone found that the cause of corneal disease, and of corneal weakness and deformation, is related to an enzyme imbalance, whereby free radicals can damage corneal proteins and change the structure of the cornea.","A recent study, which dealt with the transformation of the cornea from a dome to a cone, revealed that the cause of the cornea's disease and weakness and deformation of its shape is related to an enzyme imbalance, due to which free radicals can damage the proteins in the cornea - and its structure will change.","A recent study, which dealt with changing the shape of the cornea from a dome to a cone, discovered that the cause of the disease and the weakness of the cornea and the distortion of its shape is related to an enzymatic imbalance, as a result of which the free radicals may damage the proteins in the cornea - and its structure will change.","A recent study, which dealt with turning the shape of the cornea from a dome to a cone, found that the cause of the disease and the weakness of the cornea and the deformity of its shape is related to an enzyme imbalance, in which the free radicals can damage the proteins in the cornea - and its structure will change.","Recent research, which dealt with transforming the shape of the cornea from a dome to a cone, revealed that the cause of the cornea's disease and weakness and its distortion of shape is associated with an enzymatic imbalance, following which free radicals can damage the proteins in the cornea - and its structure will change.","A recent study, which was concerned with changing the shape of the cornea from a dome to a cone, revealed that the cause of the disease and the weakness of the cornea and the distortion of its shape is related to an enzymatic imbalance, as a result of which the free radicals may damage the proteins in the cornea – and its structure will change.","A recent study that focused on the transformation of the corneal shape from convex to concave, revealed that the underlying cause of the disease and the weakening of the cornea's structure, leading to its distortion, is linked to an enzymatic imbalance, leading to a situation that the free radicals might potentially damage the proteins within the cornea, causing changes in its structure.",Recent research has found that the cause of the disease and weakness of the cornea may be related to an enzymatic imbalance in the cornea.,"A recent study, which dealt with the transformation of the corneal shape from a cape to a cone, found that the reason for the disease and weakness of the cornea and its deformation is related to an enzyme imbalance, following which free radicals can damage the proteins in the cornea - and its structure will change.","Recent research, which has dealt with transforming the shape of the cornea from a dome to a cone, revealed that the cause of the cornea's disease and weakness and its shape deformation is related to an enzymatic imbalance, as a result of which free radicals can damage the proteins in the cornea  and its structure will change."
59,1198,Hover and Shochman (15 points each) excelled.,Hoover and Schuchman (15CA) excelled,Hoover and Schumann were outstanding.,Hoover and Sachman (15 K.C.A.) were outstanding,Hoover and Sachman (15 C.P.A.) excelled,Huber and Schuchman (15 each) excelled,Huber and Shuchman (15 21) excelled,Hoover and Schuchman (15 CA) Excelled,Huber and Schuchman (15 CA) excelled,Huber and Shuchman (15 each one) excelled,Huber and Shochman (15 pts each) excelled,Hoover and Schuchman (15 each) excelled.,Hoover and Hochman (15a) excelled,Huber and Shuchman ( 15 each) excelled.
60,1887,"Wow, sounds good.","And wow, sounds good","Wow, that sounds good.","Wow, that sounds good.","Wow, that sounds good.","Wow, sounds good","Wow, sounds good","Wow, sounds good.","Wow, sounds good","Wow, sounds good","Wow, sounds good!","Sounds good, man.","Wow, sounds good.","Wow, sounds good."
61,606,"In the hospital: ""He is valued and experienced.""","Hospital: ""He is well-respected and experienced""","Hospital: ""He is esteemed and experienced""","Hospital: ""He is appreciated and experienced""","Hospital: ""He Is Appreciated and Experienced""","Hospital: ""He is valued and experienced""","Hospital: ""He is valued and experienced""",Hospital: 'He is respected and experienced',The hospital: “He is appreciated and experienced”,Hospital: “He is valued and experienced”,The hospital: “He is respected and experienced”,"Hospital: ""He's well respected and experienced""","Hospital: ""He's highly regarded and experienced""",The hospital: “ He is appreciated and experienced” .
62,1890,El Al is a tin company.,Al on Tin Company.,Don't worry about the tin company.,Not on a tin company.,Not on a can company.,EL AL Tin Company.,El Al Pah Company.,Don't be a tin company.,Don't about a tin company.,El Al is a trashy Company.,El Al is a lousy company.,Don't on a tin company.,Al's on a tin company.,EL AL Tin Company.
63,1263,"Yellow celebrations: ""There was a feeling that the whole world was against us""","Yellow celebrations: ""There was a feeling that the whole world was against us""","Yellow Celebrations: ""It felt like the whole world was against us""","Yellow celebrations: ""It felt like the whole world was against us""","Yellow celebrations: ""It felt like the whole world was against us""","Yellow celebrations: ""There was a feeling that the whole world was against us""","Yellow celebrations: ""There was a feeling that the whole world was against us""","""There was a feeling that the whole world was against us.""",Yellow celebrations: 'There was a feeling that the whole world was against us',Yellow celebrations: “There was a feeling that the whole world was against us”,"Yellow celebrations: ""It felt like the whole world was against us"".",Yellow vests:'There was a feeling that the whole world was against us',"""It felt like the whole world was against us.""","Yellow celebrations: ""There was a feeling that the whole world was against us"""
64,1336,"A new and disturbing study recently published in the journal Earth’s Future, predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current trends.","A disturbing new study, recently published in the journal Earth's Future, predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current usage trends.","A disturbing new study recently published in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will shrink by 80 percent if the rate of water use and population growth in the world continues at current usage trends.","A disturbing new study recently published in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decline by about 80 percent if the rate of water consumption and population growth in the world remains at their current use trends.","A disturbing new study recently published in the journal Earth's Future, predicts that by 2050, the amount of water available for agriculture will decline by about 80 percent if the world's water consumption and population growth rates stay on present trends.","A disturbing new study recently published in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decrease by about 80% if the pace of water consumption and global population growth remain at their current usage trends.",A disturbing new study recently published in the journal Earth's Future predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current usage trends.,"A disturbing new study published recently in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decrease by about 80% if the pace of water consumption and population growth remain at their current usage trends.",A new and disturbing study published recently in the journal Earth's Future predicts that by 2050 the amount of water available for agriculture will decrease by 80% if the rate of water consumption and world population growth remain within their current usage trends.,A disturbing new study recently published in the journal Earth’s Future predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current usage trends.,"A recent and alarming study published in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decrease by about 80% if the current patterns of water consumption and global population growth continue.",A new study in Earth's Future predicts that by 2050 the amount of water available for agriculture will decrease by 80 percent.,A disturbing new study published recently in the journal Earth's Future predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and the growth of the world's population remain in their current usage trends.,A new and disturbing study recently published in the journal Earth's Future predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current usage trends.
65,1111,"""I'm feeling a bit stressed right now because I need to move house with my family after we settled in the central area and it's not easy, but there are no more phone calls and professionally I'm much more relaxed.""","""I have a bit of pressure now because I have to move with the family after we settled in the central area and it's not easy, but there are no phones anymore and from a professional point of view I'm much calmer.""","""I'm under a little pressure right now because I have to move in with my family after we settled downtown and it's not easy, but there are no phones anymore and professionally I'm a lot calmer"".","""I'm a little stressed out now because I have to move in with my family after we settled downtown and it's not easy, but there are no more phones and professionally I'm much more relaxed"".","""I got a little bit of pressure now because I have to move with the family after we settled in the downtown area and it's not easy, but there are no more phones and professionally I'm a lot more relaxed"".","""I have a bit of pressure now because I have to move with my family after we settled in the central area and it's not easy, but there are no phones anymore and professionally I'm much calmer.""","""I have a bit of pressure now because I have to move with my family after we settled in the central area and it's not easy, but there are no more phones and from a professional point of view I'm much calmer.""","""I have a bit of pressure now because I have to move with my family after settling in the centre area and it's not easy, but there are no phones anymore and professionally I'm much more relaxed.""","“I have a little pressure now because I have to move with the family after we have settled in the central area and it is not easy, but there are no phones already and professionally I am much more relaxed.”","“I am a bit stressed now because I have to relocate with my family after living in the central district and it isn’t easy, but there are no more phone calls and of a professional point of view I’m much calmer”.","""I do have some pressure now because I need to find an apartment with my family after settling in the central region, and it's not easy, but there are no more phones, and professionally, I'm much calmer now"".","""I have a bit of pressure now because I have to move with my family after settling in the center and it's not easy.","""I have a little pressure now because I have to move with my family after we settled in the central region and it's not easy, but there are no phones anymore and professionally I'm much more relaxed.""","""I have a bit of pressure now because I have to move with my family after settling in the central area and it's not easy, but there are no phones anymore and professionally I'm much calmer."""
66,364,"Bibi will play the role of Noa, which was portrayed by Dafna Armoni.","Bibi will play the role of Noa, played by Dafna Armoni.","Bibby will play a moving role, played by Daphne Armoni.","Bibi will play the role of Moha, played by Daphne Armoni.","And Bibi will play the role of Moha, played by Daphne Armoni.","Bibi will play the role of Noa, played by Dafna Armoni.","Bibi will play the role of Noa, played by Dafna Armoni.","Bibi will play Noa, played by Dafna Armoni.","Bibi will play the role of Noa, played by Daphne Armoni.","Ms. Bibi will play the role of Noa, played by Dafna Armoni","Bibi will play the role of Noa, which was portrayed by Dafna Armoni.","Bibi will play the role of Noa, played by Dafna Armoni.","She will play the part of Noa, played by Dafna Armoni.","Bibi will play the role of Noa, played by Dafna Armoni."
67,1618,Insanely talented.,She is insanely talented.,Talented as hell.,Madly gifted.,Madly gifted.,Insanely talented.,Insanely talented.,Insanely talented.,Insanely talented.,Extremely talented.,Extremely talented.,Insanely talented.,Insanely talented.,Insanely talented.
68,734,Medical negligence at different stages of birth.,Medical malpractice at different stages of birth,Medical negligence at different stages of labor,Medical negligence in the various stages of childbirth,Medical negligence in the various stages of childbirth,Medical Malpractice at Various Stages of Birth,Medical negligence in the various stages of childbirth,Medical Malpractice in various stages of birth,Medical malpractice in the different stages of childbirth,Medical negligence in the various stages of childbirth,Medical negligence during different stages of childbirth,Medical malpractice at various stages of birth.,Medical malpractice during the different stages of birth,Medical malpractice in the different stages of childbirth
69,301,The sanctity and tradition are a very deep root in my soul.,Faith and tradition are deep in my heart.,Consecration and tradition are very deeply rooted in my soul.,The sacred and the traditional are very deeply rooted in my soul.,Holiness and tradition are very deeply rooted in my soul.,Kiddush and tradition are very deep roots in my soul.,The sanctification and tradition are a very deep root in my soul.,Sanctification and tradition are a very deep root in my soul.,The sanctification and tradition are a very deep root in my soul.,Saturday’s sanctification and tradition are deeply rooted in my soul.,The Kiddush and tradition are deeply rooted in my soul.,Religion and tradition are very deep rooted in my soul.,Life and tradition are very deep in my soul.,The sanctification and tradition are a very deep root in my soul.
70,221,Did you change your workplace?,Have you changed place of work?,Did you change jobs?,You changed jobs?,You changed jobs?,Have you changed jobs?,Have you changed jobs?,Have you changed jobs?,Have you changed jobs?,Have you changed place of work?,Did you change your workplace?,You've changed jobs?,Changed a job?,You have changed jobs.
71,1342,Information about many students from Bar Ilan University has leaked online.,Information about many Bar Ilan University students leaked online,Information about many students from Bar-Ilan University leaked online,Information about many students from Bar University has leaked online.,Information on many students from Bar University has leaked online.,Information about many students from Bar Ilan University leaked online,Information about many students from Bar Ilan University was leaked online,Information about many Bar Ilan University students leaked online,Information about many students from Bar Ilan University leaked online,Information about many students from Bar Ilan University was leaked to the web,Information about many students at Bar-Ilan University has leaked online.,Information about many Bar Ilan University students has leaked online.,Information on many Bar-Ilan University students leaked online,Information about many students from Bar Ilan University was leaked online.
72,1377,"""There is no correlation between the symptoms and the development of antibodies against the virus.","""There is no correlation between the sensations and the development of antibodies against the virus.","""There's no correlation between sensitivity and the development of antibodies to the virus.","""There is no correlation between sensations and development of antibodies to the virus.",There is no correlation between sensation and the development of antibodies to the virus.,"""There is no correlation between feelings and the development of antibodies against the virus.","""There is no correlation between the feelings and the development of antibodies against the virus.","""There is no correlation between the sensations and the development of antibodies against the virus.",“There is no correlation between sensations and the development of antibodies against the virus.,“There is no correlation between the feelings and the development of antibodies against the virus.,There is no correlation between the sensations and the development of antibodies against the virus.,"""There is no correlation between the feelings of developing antibodies against the virus.","""There is no correlation between feelings and the development of antibodies against the virus.","""There is no correlation between sensations and the development of antibodies against the virus."
73,605,"The chairman of the doctors' committee complained that the director, Dr. Engel, was warned before his appointment.","The chairman of the doctors' committee complained that the director, Dr. Engel, had been warned before his appointment.","The chairman of the medical board complained that the director, Dr. Engel, was warned before his appointment.","Chairman of the Medical Board complained that the director, Dr. Engel, was warned before his appointment.","Chairman of the board of doctors complained that the director, Dr. Engel, was warned before his appointment.","The chairman of the doctors' committee complained that the director, Dr. Engel, had been warned before his appointment","The chairman of the doctors' committee complained that the director, Dr. Engel, was warned before his appointment •","The chairman of the Doctors ' Committee complained that the director, Dr Engel, had been warned before his appointment •","The chairman of the Board of Physicians complained that the director, Dr. Engel, had been warned before his appointment.","The chairman of the doctors’ committee complained that the director, Dr. Engel, was warned before his appointment •","The chairman of the doctors' committee complained that the director, Dr. Angel, was warned before his appointment.","The chairman of the medical board complained that the director, Dr. Engel, had been warned before his appointment.","The chairman of the doctors' committee complained that the director, Dr. Engel, had been warned before his appointment.","The chairman of the doctors' committee complained that the director, Dr. Engel, had been warned before his appointment."
74,1517,"Now, the quarantine that vaccinated and recovered individuals returning from red countries will have to enter is for 24 hours at most, or until they receive the results of the coronavirus tests conducted after landing at Ben Gurion Airport (whichever comes first).","Now, the isolation that the vaccinated and recovered returning from orange countries will have to enter is for a maximum of 24 hours, or until the results of the coronavirus tests are received after landing at Ben Gurion Airport (whichever comes first).","Now, the quarantine required for vaccinated and recovered people returning from orange countries is 24 hours at the most, or until the results of the coronavirus tests taken after landing in the Philippines (first come first served).","Vaccinated and recovered people returning from orange countries will now be required to self-isolate for a maximum of 24 hours, or until they receive the results of post-landing coronavirus tests at the NBBG (whichever is earlier).","Now, vaccinated and recovered people returning from orange countries will have to go into quarantine for a maximum of 24 hours, or until they receive the results of the coronavirus tests they have had after landing at NABBG, whichever comes first.","Currently, the quarantine that vaccinated and recovered people returning from orange countries will have to enter is for a maximum of 24 hours, or until the results of the COVID-19 tests performed after landing at Ben Gurion Airport (whichever comes first) will have to enter.","Now, the isolation that the vaccinated and the convalescents returning from orange countries will have to go into is for 24 hours at most, or until the results of the corona tests are received after landing in Israel (whichever comes first).","Currently, the isolation that the vaccinated and recovering persons returning from orange countries will have to enter is for a maximum of 24 hours, or until the results of the coronavirus tests performed after landing at Ben Gurion Airport (the earliest) are received.","Now, the isolation that vaccinators and recuperators returning from orange countries will have to enter is for a maximum of 24 hours, or until the results of coronavirus tests performed after landing at the airport (whichever comes first).","Now, the isolation that the vaccinated and convalescents returning from orange countries will have to go into is for 24 hours at most, or until the results of the corona tests are received after landing in Israel (whichever comes first).","Now, the quarantine that vaccinated and recovered individuals returning from orange countries will have to enter is a maximum of 24 hours, or until they receive the results of the coronavirus tests performed after landing at Ben Gurion Airport (the earliest among them).",Vaccinated and recovered persons returning from orange countries must now isolate for a maximum of 24 hours or more after landing.,"Now, the isolation that the vaccinated and recovering returnees from orange countries will have to undergo is for a maximum of 24 hours, or until the results of the COVID-19 tests that are performed after landing at Ben Gurion Airport (whichever comes first) are received.","Now, the isolation that vaccinators and convalescents returning from orange countries will have to enter is for a maximum of 24 hours, or until the results of coronavirus tests performed after landing at Ben Gurion Airport ( whichever comes first) are received"
75,1724,Someone here missed an important detail.,Someone missed an important detail.,Someone here missed an important detail.,Someone here missed an important detail.,Someone here missed an important detail.,Someone here missed an important detail,Someone here missed an important detail,Someone missed an important detail.,Someone missed an important detail here,Someone here missed an important detail,Somebody here missed an important detail,Someone missed an important point here.,Someone has missed an important detail.,Someone here missed an important detail.
76,1445,This is how the process will be carried out: The Dreamliner planes flying to Canada will be released for long flights to the East.,This is how the move will be carried out: The Dreamliner planes flying to Canada will be released in favor of long flights to the east.,Here's how it's gonna work: Dreamliners flying to Canada will be released in favor of long-haul flights east.,Here's how it's gonna work: Dreamliners flying to Canada will be freed up for long-haul flights east.,What's to be done: Dreamliners flying to Canada will be released for long-haul flights to the east.,Here's how the move will be made: Dreamliners flying to Canada will be released for long-haul flights to the East.,This is how the move will be made: the Dreamliner planes that fly to Canada will be released in favor of long flights to the East.,Here's how the move will play out: Dreamliners flying to Canada will be released in favor of long-haul flights to the East.,Here's how the move will take place: the Drimliner planes flying to Canada will be released in favour of long-haul flights to the East.,This is how the move will be made: the Dreamliner planes that fly to Canada will be released in favor of long flights to the East.,Here's how the process will unfold: The Dreamliner planes currently flying to Canada will be released for long flights to the East.,Here's how the move will play out: Dreamliners flying into Canada will be released in favor of long flights to the east.,The Dreamliners flying to Canada will be released for long-haul flights to the east.,Here's how the move will be made: Dreamliners flying to Canada will be released in favor of long-haul flights to the East.
77,519,"""I am happy for the citizens of Israel that the Omicron wave continues to decline and that we have got our normal life back,"" said Prof. Zarka, adding: ""We still have a duty to prepare for another wave of illness as a result of the virus still being here, in Israel and around the world.""","""I am happy for the sake of the citizens of Israel that the Omicron wave continues to wane and that we have received our normal way of life back,"" Prof. Zarka said, adding: ""It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world.""","""I am happy for the sake of the citizens of Israel that the wave of Omicron continues to subside and that we have received our normal lifestyle back"", said Professor Zarqa, adding: ""We still have a duty to prepare for another wave of illness as a result of the virus still being present here in Israel and around the world"".","""I am happy for the citizens of Israel that the Omicron wave continues to subside and we have received our normal life back"", said Prof. Zarqa, adding: ""We still have a duty to prepare for another wave of illness as a result of the virus still being here, in Israel and around the world"".","""I am delighted for the citizens of Israel that the Omicron wave is continuing to subside and we have received our normal life back"", said Prof. Zarqa, adding: ""It is still our duty to prepare for another wave of illness stemming from the continued presence of the virus here in Israel and around the world"".","""I am happy for the citizens of Israel that the Omicron wave continues to wane and that we have returned to our normal way of life,"" Prof. Zarka said, adding: ""It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world.""","""I am happy for the citizens of Israel that the micron wave continues to fade and that we got our normal way of life back,"" said Prof. Zarka, adding: ""It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world.""","""I am happy for the citizens of Israel that the Omicron wave continues to wane and that we have regained our normal way of life, ""Professor Zarqa said, adding:""It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world.""","“I am happy for the citizens of Israel that the wave of omicron continues to fade and that we have got our normal way of life back,” Prof. Zarqa said, adding: “It is still our duty to prepare for another wave of morbidity as a derivative of the fact that the virus is still here, in Israel and around the world.”","“I am happy for the sake of the citizens of Israel that the Omicron wave continues to fade and that we got our normal way of life back”, said Prof. Zarka, adding: “It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world”.","""I am glad for the sake of the citizens of Israel that the Omicron wave continues to recede and that we are returning to our normal way of life,"" said Professor Zarka, adding, ""Nevertheless, it is still our duty to be prepared for another wave of illness as a result of the virus still being present here in Israel and around the world.""",I am pleased for the citizens of Israel that the Omicron wave continues to wane and that we have our normal way of life back.,"""I am happy for the citizens of Israel that the omicron wave continues to fade and that we have received our normal way of life back,"" said Prof. Zarka, adding: ""It is still our duty to prepare for another wave of disease as a result of the virus still being here, in Israel and around the world.""","""I am happy for the citizens of Israel that the Omicron wave continues to fade and that we have returned to our normal way of life, "" Prof. Zarka said, adding: ""It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world."""
78,1550,The largest airline company in Israel reports an increase in demand for flights abroad since the announcement yesterday about significant easing for travelers.,Israel's largest airline is reporting an increase in demand for flights abroad since yesterday's announcement of the significant easing for flights.,Israel's largest airline is reporting an increase in demand for international flights since the announcement yesterday of significant tax breaks.,Israel's largest airline is reporting an increase in demand for international flights since yesterday's announcement of significant easing of restrictions on flights.,Israel's largest airline is reporting an increase in demand for international flights since yesterday's announcement of significant easing for passengers.,Israel's largest airline reports an increase in demand for flights abroad since yesterday's announcement of significant easing of restrictions for passengers.,Israel's largest airline reports an increase in demand for flights abroad since yesterday's announcement of the significant concessions for flights.,Israel's largest airline has reported an increase in demand for flights abroad since the announcement yesterday of the significant easing of air travel restrictions.,Israel's largest airline is reporting an increase in demand for flights abroad since yesterday's announcement of the significant easing for flights.,Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.,The largest Israeli airline El Al reports an increase in demand for international flights since the announcement of significant easing of restrictions for travelers.,Israel's biggest airline has reported a surge in demand for flights abroad since the announcement yesterday of major easing for flyers.,Israel's largest airline has reported an increase in demand for flights abroad since yesterday's announcement of the significant easing of flights.,Israel's largest airline reports an increase in demand for flights abroad since yesterday's announcement of significant easing of travel.
79,1641,Who is this?!,Who is that?!,Who's that? ! - What?,Who is that?!,Who is it?!,Who is this?!,Who is?!,Who's that?!,Who is this?!,Who is he?!,Who is he?!,Who's that?,Who is it?!,Who is that person?
